20180831,F,E,F,1,T,Y,N,N,N,T
20180831,F,E,M,3,T,N,N,N,N,T
20180831,F,E,F,6,T,N,N,N,N,T
20180831,F,E,F,3,T,N,N,N,N,T
20180831,F,E,F,4,T,N,N,N,N,T
20180831,F,E,M,5,T,N,Y,Y,N,T
20180831,F,E,F,3,T,Y,N,N,N,T
20180831,F,E,M,3,T,N,N,N,N,T
20180831,F,E,F,4,T,N,N,N,N,T
20180831,F,E,M,2,T,N,Y,Y,N,T
20180831,F,E,F,5,R,N,Y,Y,N,T
20180831,F,E,M,5,T,N,N,N,N,T
20180903,M,M,M,4,R,N,Y,Y,N,T
20180903,M,M,M,5,D,N,N,N,N,T
20180903,M,M,M,3,R,N,Y,N,W,T
20180903,M,M,F,4,D,N,N,N,N,T
20180903,M,M,M,5,D,N,N,N,N,T
20180903,M,M,M,2,D,N,Y,N,L,T
20180903,M,M,F,3,D,N,Y,N,W,T
20180903,M,M,M,4,R,N,N,N,N,T
20180903,M,M,F,5,D,N,N,N,N,T
20180903,M,M,M,2,D,N,Y,Y,W,T
20180903,M,M,M,4,T,N,N,N,N,T
20180903,M,M,F,3,R,N,Y,N,W,T
20180903,M,M,M,3,D,N,Y,Y,W,T
20180903,M,M,F,4,D,N,Y,Y,L,T
20180903,M,M,F,5,D,N,Y,N,W,T
20180903,M,M,M,3,D,N,Y,Y,N,T
20180903,M,M,M,3,T,N,N,N,N,T
20180903,M,M,F,2,T,N,N,N,N,T
20180903,M,M,M,3,T,N,Y,Y,W,T
20180903,M,M,M,5,D,N,N,N,N,T
20180903,M,M,F,3,D,N,N,N,N,T
20180903,M,M,F,4,D,N,N,N,N,T
20180903,M,M,F,4,T,N,Y,N,W,T
20180903,M,M,M,4,D,N,Y,Y,N,T
20180903,M,M,F,2,D,N,N,N,N,T
20180903,M,M,F,4,D,N,N,N,N,T
20180903,M,M,M,2,T,N,Y,N,W,T
20180903,M,M,M,3,D,N,N,N,N,T
20180903,M,M,F,2,D,N,Y,Y,W,T
20180903,M,M,F,5,D,Y,N,N,N,T
20180903,M,M,F,4,D,N,N,N,N,T
20180903,M,M,M,2,T,N,Y,Y,L,T
20180903,M,M,M,4,T,N,N,N,N,T
20180903,M,M,M,3,T,N,N,N,N,T
20180903,M,M,F,3,D,N,Y,N,W,T
20180903,M,M,M,4,T,N,N,N,N,T
20180903,M,M,M,5,T,N,Y,Y,N,T
20180903,M,M,M,5,T,N,Y,N,W,T
20180903,M,M,M,2,T,N,Y,Y,N,C
20180903,M,M,F,2,T,N,N,N,N,C
20180903,M,M,F,4,T,N,Y,Y,W,C
20180903,M,M,F,4,T,N,N,N,N,C
20180903,M,M,M,3,T,N,Y,Y,N,C
20180903,M,M,M,3,T,N,Y,Y,N,C
20180903,M,M,F,5,T,N,Y,Y,N,C
20180903,M,M,M,4,T,N,Y,Y,N,C
20180903,M,E,M,3,T,N,Y,Y,W,C
20180903,M,E,F,4,T,N,Y,Y,N,C
20180903,M,E,M,3,T,N,Y,Y,N,C
20180903,M,E,F,3,T,N,Y,Y,N,C
20180903,M,E,M,2,T,N,Y,Y,L,C
20180903,M,E,M,5,T,Y,N,N,N,C
20180903,M,E,M,2,T,N,Y,Y,W,C
20180903,M,E,F,2,T,N,Y,Y,W,C
